coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
POLYX,0.0,0.0,0.0,44.15240592857143,0.0
POPCAT,0.0,0.0,0.0,-3.3748,0.0
PURR,-0.6542308484848485,92.57399725,29.219232640350878,13.881734246913581,10.17437800819672
PURR/USDC,0.0,36.90202229565217,37.17418789473684,12.893795774038463,21.367161636363637
RENDER,0.0,0.0,1.7698066666666665,24.26428574698795,0.0
RNDR,0.0,1.1054079411764706,23.8459,49.184,0.0
RSR,6.158762153846154,0.0,0.0,0.0,0.0
RUNE,0.0,16.494624454545455,13.916395099999999,-4.529566575342467,-3.2806303
S,0.0,0.0,-74.50552482758621,0.0,0.0
SAND,0.0,5.678755666666667,-1.8775549999999999,2.2102825,0.0
SEI,0.0,0.0,0.0,0.0008625,0.0
SOL,1.6599264257425743,39.156017548387105,760.9600215939226,328.15728086172345,25.32575
SPX,0.0,0.0,146.943567,0.0,0.0
STRK,0.0,1.0111153750000001,1.9329928571428572,0.9426351111111111,12.23445825
STX,0.0,0.0,0.0,5.048741466666667,0.0
SUI,0.46591875,20.0807775,8.619289572519083,6.568039235849057,1.0311284615384615
SUPER,0.0,0.0,0.0,0.0,0.0
SUSHI,0.0,0.42647273170731725,12.422855923076924,0.0,19.1392078125
TAO,0.0,9.504275,60.744572407894736,0.068324,85.55166772727273
TIA,0.0,37.3544,-14.400045913043481,46.348866480000005,11.077836000000001
TNSR,0.0,3.3457289304812834,2.8750875189873417,14.68214812096774,0.0
TRUMP,0.0,0.0,1.82115,0.0,0.0
TRX,0.0,1.9925196338028166,0.0,58.74362333333334,0.0
TURBO,0.0,258.32658,0.14074350000000002,3.2250725555555553,10.90697425
UNI,0.0,1.6169166000000001,0.0,6.780842,0.0
USTC,0.0,0.0,0.0,0.0,0.0
USUAL,0.0,0.0,711.2737468095238,759.7911534285714,0.0
VINE,0.0,0.0,-0.32676517307692293,21.469322337662337,0.0
VIRTUAL,22.392653,0.0,0.0,0.41209999999999997,-0.5523530769230769
VVV,0.0,0.0,37.09277323809523,0.0,0.0
W,0.0,3.1505485,0.8213724867924528,3.4589361666666663,0.0
WIF,0.0,60.77297940540541,37.408035500000004,41.49269826415094,91.15532857142857
WLD,0.0,63.47915875949367,28.23429263934426,15.906813975155279,0.6643394680851064
XAI,0.0,6.143474250000001,262.4099775,0.0,0.0
XRP,1.5871336,-1.1862653728813561,14.34682678504673,0.1600381666666666,11.49433292
YGG,0.0,0.496713,68.48452357142858,0.0,0.0
ZEREBRO,0.0,0.0,8.423362385964912,0.0,19.98317
ZETA,0.0,-2.772696,0.0,54.89228833333333,0.0
ZK,0.0,0.0,1.9065486249999999,0.4114,9.974127
ZRO,0.0,0.0,0.0,0.0,0.0
kBONK,0.0,43.154500282608694,23.753011346153848,83.05376987437187,106.55998658585858
kPEPE,-0.24755739130434784,-7.064131285714287,40.951040524390244,74.77778856666667,87.18766658181819
kSHIB,0.0,-3.9824881999999997,0.0,0.0,0.0
